crypto_name,date,price,market_cap,volume,ingestion_timestamp
ethereum,2026-02-14 15:03:09.340,2084.5706304716937,251726656106.5525,19044799013.330917,2026-03-03 01:20:38.901326
ethereum,2026-02-14 16:03:17.714,2086.8555506915523,251927120240.54028,17210770071.612694,2026-03-03 01:20:38.901327
ethereum,2026-02-14 17:02:46.448,2081.2874903307775,251309234519.8507,16797630333.491005,2026-03-03 01:20:38.901328
ethereum,2026-02-14 18:03:13.951,2078.4822270962695,250967950567.7071,16495570585.305897,2026-03-03 01:20:38.901329
ethereum,2026-02-14 19:02:41.447,2083.9004640182284,251416436098.76398,16169803613.862122,2026-03-03 01:20:38.901329
ethereum,2026-02-14 20:00:36.530,2087.3189297225013,251903464417.57056,15866819969.527733,2026-03-03 01:20:38.901330
ethereum,2026-02-14 21:02:15.014,2088.368719034728,252025722734.27353,15252460384.263697,2026-03-03 01:20:38.901331
ethereum,2026-02-14 22:03:20.468,2084.8366731234723,251588309797.15366,16001492655.383812,2026-03-03 01:20:38.901332
ethereum,2026-02-14 23:02:29.015,2089.6433565859675,252317196214.5427,23847635996.28532,2026-03-03 01:20:38.901333
ethereum,2026-02-15 00:03:17.763,2085.189981560399,251706847538.5248,16991497819.248497,2026-03-03 01:20:38.901333
ethereum,2026-02-15 01:02:44.543,2078.615622470811,250867860972.9927,16062907188.930256,2026-03-03 01:20:38.901334
ethereum,2026-02-15 02:02:57.391,2063.4153040681304,248941559165.9489,17290337846.014767,2026-03-03 01:20:38.901340
ethereum,2026-02-15 03:02:43.305,2059.067989785143,248826717615.04672,18318425733.421204,2026-03-03 01:20:38.901340
ethereum,2026-02-15 04:00:44.626,2058.9995446102116,248311052801.94138,21163053820.065796,2026-03-03 01:20:38.901341
ethereum,2026-02-15 05:03:01.687,2075.326774614961,250313753798.50732,22500737169.623848,2026-03-03 01:20:38.901342
ethereum,2026-02-15 06:02:44.334,2087.8332411277024,252154963425.5254,23119555220.434505,2026-03-03 01:20:38.901343
ethereum,2026-02-15 07:03:49.262,2085.266571557726,251639159519.58627,22857019231.944477,2026-03-03 01:20:38.901344
ethereum,2026-02-15 08:00:40.032,2090.1571583729083,252280248652.7259,24688084407.661926,2026-03-03 01:20:38.901345
ethereum,2026-02-15 09:03:16.602,2068.3235103530083,249491389804.01553,24607000676.153706,2026-03-03 01:20:38.901345
ethereum,2026-02-15 10:02:32.096,2067.327888223366,249616611654.50214,24547970902.478348,2026-03-03 01:20:38.901346
ethereum,2026-02-15 11:02:29.547,2060.5945531967436,248902862555.0317,25027698599.78132,2026-03-03 01:20:38.901347
ethereum,2026-02-15 12:02:28.265,2060.802555782671,248663163646.54782,23870038166.930557,2026-03-03 01:20:38.901348
ethereum,2026-02-15 13:03:53.887,2015.4562881129427,243616003790.5473,24267520029.423008,2026-03-03 01:20:38.901349
ethereum,2026-02-15 14:01:03.227,2001.0349018591867,241674628953.73538,24953284978.540012,2026-03-03 01:20:38.901350
ethereum,2026-02-15 15:03:41.062,2008.8985315452267,242480220980.38202,25448394081.19456,2026-03-03 01:20:38.901350
ethereum,2026-02-15 16:00:39.886,2010.056607302998,242415498783.39175,24533018519.719837,2026-03-03 01:20:38.901351
ethereum,2026-02-15 17:02:37.933,2005.7121201545701,242103974233.48883,25262445837.28528,2026-03-03 01:20:38.901352
ethereum,2026-02-15 18:01:24.102,1969.938454493388,237690359180.497,25578541345.788555,2026-03-03 01:20:38.901353
ethereum,2026-02-15 19:00:49.934,1957.43666641872,236020111961.3315,27778548699.047394,2026-03-03 01:20:38.901354
ethereum,2026-02-15 20:02:44.620,1942.222317403274,234669727620.825,30221907463.156914,2026-03-03 01:20:38.901355
ethereum,2026-02-15 21:03:19.026,1949.16137948393,235172060891.54507,29811064791.401196,2026-03-03 01:20:38.901356
ethereum,2026-02-15 22:02:37.152,1957.8458554808944,236354932989.8674,30371939852.738438,2026-03-03 01:20:38.901359
ethereum,2026-02-15 23:03:39.447,1968.2342580928992,237592115418.48068,30651819439.475384,2026-03-03 01:20:38.901360
ethereum,2026-02-16 00:01:45.491,1965.1597038302314,237108680939.59772,30061336690.022507,2026-03-03 01:20:38.901361
ethereum,2026-02-16 01:02:26.877,1967.7740319174516,237532088051.4073,31072394343.946445,2026-03-03 01:20:38.901361
ethereum,2026-02-16 02:01:52.363,1962.5415346506481,236866611970.90625,31173219141.15872,2026-03-03 01:20:38.901362
ethereum,2026-02-16 03:01:38.067,1955.9128106532987,235870714066.79242,30771536246.18344,2026-03-03 01:20:38.901363
ethereum,2026-02-16 04:00:16.421,1957.6361564915198,236205424182.9017,27830526891.776,2026-03-03 01:20:38.901364
ethereum,2026-02-16 05:02:29.466,1971.5323559158671,237919097212.3574,26311829099.45074,2026-03-03 01:20:38.901365
ethereum,2026-02-16 06:02:52.388,1956.5480301814928,236205105726.96158,31044015417.616596,2026-03-03 01:20:38.901366
ethereum,2026-02-16 07:03:08.948,1965.5628662004508,237242635379.57828,25907182812.73268,2026-03-03 01:20:38.901366
ethereum,2026-02-16 08:02:53.919,1970.14273289616,237765585097.99902,25070225374.80171,2026-03-03 01:20:38.901367
ethereum,2026-02-16 09:03:04.349,1976.0191315721866,238456245414.43298,23955041703.309013,2026-03-03 01:20:38.901368
ethereum,2026-02-16 10:02:27.953,1985.9403371355943,239739623818.84064,23765194404.599888,2026-03-03 01:20:38.901369
ethereum,2026-02-16 11:02:48.518,1977.9969822820813,238805568065.5492,26843826833.74148,2026-03-03 01:20:38.901370
ethereum,2026-02-16 12:02:22.215,1975.715468347886,238450202272.52542,24170216160.850456,2026-03-03 01:20:38.901371
ethereum,2026-02-16 13:02:29.567,2004.9423207817906,242080604055.2258,24504737994.326294,2026-03-03 01:20:38.901371
ethereum,2026-02-16 14:02:45.450,1967.6635800735728,237265089451.45322,24989982060.901928,2026-03-03 01:20:38.901372
